prompt_procesado_es,fuente,cluster,sentimiento,frame,subtopico
chichena blanca ante cascadas ella descubrimiento arqueologico temperaturas grandes temperaturas cascadas ella descubrimiento arqueologico temperaturas grandes temperaturas cascadas ella descubrimiento arqueologico grandes temperaturas cascadas su,descripcion,9,POS,NEUTRAL,-1
ham yutja ancient pyramid victo nga realista remedios varo uranga viajes ad sergio larra lost world pyramid real vintage photo ancient pyramid,descripcion,4,NEU,NEUTRAL,-1
tomado camara kodak 1960 camara kodak anos 70 captura pantalla encontradas pelicula color todavia levitando ciudadela metraje vhs todavia captura pantalla pelicula 1983 mm todavia video musical,descripcion,1,NEU,NEUTRAL,-1
grupo personas se encuentran alrededor motocicleta moto centro marco catalogo subastas 1930 catalogo museos ebay filipinas anos 70 motocicletas archivo museo 1948 sin casco 1961a 1947 4,descripcion,3,NEU,NEUTRAL,-1
camino tierra tribe huts jungle mud brick houses 1970s 1970s s c1976 pozas colombia aj os 60 1970s filipinas,descripcion,2,NEU,NEUTRAL,-1
proyeccion proyectada instalacion diseno proyeccion coloridas proyecciones detalladas mapeo proyeccion proyecciones coloridas paredes grandes movimiento paredes digitales pantallas digitales paredes muralismo mexicano ravi supa oscuridad paredes pantallas led freddy mamani silvestre fackeund fondever,descripcion,2,POS,NEUTRAL,-1
automovil esta estacionado frente arco grande imet2020 competencia racial disparo cinematografico angular sol brilla automovil autos personas ducha meteoritos persecucion metraje rally dakar armenia quindio renault ultimo mexico vista completa automovil carrera carrera,descripcion,2,POS,NEUTRAL,-1
tupi angkor wat angkor thon angkor grandes indonesia antiguo run mayano ruisas antiguo misterioso sagrada blanca antiguo blanca,descripcion,2,POS,NEUTRAL,-1
ang cubierto musgo enormes alien,descripcion,2,POS,NEUTRAL,-1
avion vuela cielo vibrante cielo azul claro cielo azul limpio cielo azul puro cielo azul claro cielo azul azul solido cielo azul cielo transparente claro cielo verano cielo azul claro cielo azul tonos azules azul hd cielos azules cielo azul claro,descripcion,6,POS,NEUTRAL,-1
ruidosos cubiertos musgo grandes vistas epicas viejos mayores cubiertas color ruina enormes vistas epicas viejas mayores cubiertas ruidos abundantes vistas epicas mayores jungle jungle abastecidos jungle selva viejos selva paisaje,descripcion,4,POS,NEUTRAL,-1
elefante se encuentra medio exuberante follaje elfo arboles verdes arboles colinas cubiertas hierba flora verde deforestado denso vegetacion boscoso vegetacion exuberante denso vegetacion densa vegetacion exuberante centro bosques verdes bosques,descripcion,2,NEU,NEUTRAL,-1
building lot grass top matte painting finish aqueducts high quality matte painting unreal engine panoramic photography 3d rendered matte painting abandoned ruins landscape attack titan scenery photorealistic matte painting cgsociety flat matte painting auschwitz camp highly detailed matte painting organic matte pintura mate,descripcion,4,NEU,NEUTRAL,-1
pila escombros al lado plas terrazas escalonadas 1970 brutalista terrazas piramida mundial perdida c1970,descripcion,9,NEU,NEUTRAL,-1
colina tikal iv rodeada vegetacion al sol zigurat portal piramid,descripcion,2,NEU,NEUTRAL,-1
gente brutalista arqueologica mamposteria desmoronada anatsui realista construccion construccion pozas remedios varo uranga sumergido pre cran,descripcion,9,NEU,NEUTRAL,-1
automovil rojo conduce calle medio motion bokeh tray shot blowe motion desenfoque movimiento pesado desenfoque movimiento suave desenfoque velocidad desenfoque movimiento masivo desenfoque movimiento 1958 ferrari 250 gt autofoco pantalon artefacto jpeg pesado bokeh anamorfico carpas lensas carpas lentes para lentes,descripcion,4,NEG,NEUTRAL,-1
dos hombres estan trabajando horno ladrillo wolf vostell chimenea irori ladrillos polvo mamposteria desmoronada 1987 chimenea tradicional anos ochenta recubrimiento nucleo obstinado,descripcion,3,NEU,NEUTRAL,-1
periodico mujer vestido jacqueline e revista life tlaquepqueque magazine vida mary jackson ella escaneos coleccion museos revista presentada revista life camara kodak anos 60,descripcion,1,NEU,NEUTRAL,-1
techo techo paja desayuno poxas tribe huts jungle health spa meditation center puertas varias viviendas techo paja puertas estudios akitipe estudio gibi ecovillage estudios weta escenario cubano decoracion voodo espiritu ayahuasca archways entre stalagtites,descripcion,2,NEU,NEUTRAL,-1
vista aerea casa medio rodeada vegetacion mundo perdido alienigena catedral masiva grito tumba verdad es vision verdad blanca vision vision junta vision blanca verdad es vision vision blanca,descripcion,2,NEU,NEUTRAL,-1
grande muchas ventanas muchas escombros brutalista arqueologicamente artistico quetzecoatl aztec humanas destruidas sumergido pre temple aztec,descripcion,9,POS,NEUTRAL,-1
esta parado oscuridad cerca caminando castillo castillo sombrio castillo mapeo proyeccion proyeccion parado cerca castillo almacen oscuro mapeo lumen reflexion silueta murcielagos volando castillo castillo dentro castillo instalacion diseno proyeccion oscuridad oscuridad,descripcion,3,NEU,NEUTRAL,-1
vieja medio desierto catalogo museo 4 4 imagen megestructura 1960 1935 4,descripcion,3,NEU,NEUTRAL,-1
parado frente puerta torri arqueologicamente enorme puerta grande portcullis puerta circular blanca arcos brutalista,descripcion,9,POS,NEUTRAL,-1
montana castillo destruido almenas soldados 1987 castillo 1990 arqueologicamente 1980 imagen,descripcion,3,NEU,NEUTRAL,-1
articulo periodico dos hombres sensacionalista recortes periodicos articulo periodico recorte periodicos alrededor 1970 cobertura noticias alrededor circa 1969 1971 alrededor 1973 recortes revista moda,descripcion,1,NEU,NEUTRAL,-1
vista cascadas plas selva paisajes abandonadas,descripcion,5,NEU,NEUTRAL,-1
arco arco triunfo se construyo primeros arcos secos arcos paredes 1987 1990 arco masivo 1981 hay arcos wolf vostell puente vino danado 1999,descripcion,0,NEU,NEUTRAL,-1
montana parte superior david wojnarowicz arqueologica pintura mate cai guo qiang wolf vostell toshiko okanoue insvolcle insvanamente detallada julian schnabel stanley donwood,descripcion,4,NEU,NEUTRAL,-1
mexico enormes viejas 1990 1999 blanca post apocaltaticas arthus bertrand atrasado,descripcion,2,POS,NEUTRAL,-1
yucatan rodeada vegetacion amazon mundo perdido vista aerea tierra alienigena perdida catedral masiva frontera selva amazon jungle jungle selva,descripcion,2,NEU,NEUTRAL,-1
sentado tazon comida luis nieves sr miner kilbourne kellogg fred flintstone comiendo tamales klaus schwab eating bugs inspirado ralph burke tyree cuban setting hulton archives puerto rico george floyd frank stephenson elliot american canteen granhon 1950ss 1950 195,descripcion,2,NEU,NEUTRAL,-1
periodico traje helio oiticica sensacionalista penny rimbaud alrededor real calle vaquero mexicano nina alrededor 1970 heraldo ortega realista circa 1982 guerilla heroico,descripcion,1,NEU,NEUTRAL,-1
parado frente portal piramides piramides doradas piramides perdidos piramides ante piramides tumbas piramides rodeados vegetacion pueden forma ruina piramides pyramids piramas arcos majestuosos,descripcion,9,NEU,NEUTRAL,-1
chila mexico portal piramidal brutalista megestructura piramidal arcos muros pintura mate simetrica romana surrealista symitectura perfecta centradas imagen alienigena imagen imagen imagen mas alta imagen imagen imagen mas alta imagen imagen mas alta imagen imagen imagen mas alta imagen imagen,descripcion,2,NEU,NEUTRAL,-1
pila escombros colina vieja paisaje espeluznante vertedero 4 4 imagen 1960 montanas destruidas road deslizantes 1930 combacos pequenos ocasionales 1930 4,descripcion,3,NEU,NEUTRAL,-1
sun sets ruins chila mexico pyramid ruins sundown ancient megastructure pyramid ancient pyramid temples temple sun mayan pyramid surrounded greenery lost world pyramid portal giant aztec spaceship giant palace aztec architecture sacred ancient architecture mayan style grandes catedral sol,descripcion,4,POS,NEUTRAL,-1
parado sobre roca mirando ella panorama torcida vista panoramica centrada nina cascadas panoramicas antes ruidos amplio angular angulo,descripcion,5,NEU,NEUTRAL,-1
chila sol ante grandes blanca,descripcion,7,POS,NEUTRAL,-1
proyeccion proyectada mapeo proyeccion instalacion diseno proyeccion proyecciones coloridas proyecciones detalladas proyecciones colores proyeccion paisaje digital graffiti mapeo lumenes reflexion paredes digitales proyeccion holografica lan mcque pantallas lideradas pintados pantallas luz digital paredes dolores paredes dolor paredes 3d,descripcion,2,NEU,NEUTRAL,-1
parado junto jeep pelicula todavia barack obama captura pantalla encontradas jeep pelicula color todavia todavia video musical captura pantalla pelicula todavia filmada desde pelicula lodo pelicula todavia mahindra thar todavia pelicula todavia documental naturaleza,descripcion,1,NEU,NEUTRAL,-1
pieza periodico traje alrededor 1958 jacqueline e alrededor 1970 alrededor 1969 alrededor 1958 1959 alrededor 1961 1962,descripcion,1,NEU,NEUTRAL,-1
grupo hombres montando caballo camino tierra puente vid danado arqueologica realista restaurada cruzada trincheras metraje historico acero bull run real archivos accion vivo realista realista acuquesceductos historica realisitc,descripcion,3,NEU,NEUTRAL,-1
pajaro volando sobre ella mundo perdido al atardecer alienigenas torre viejas antiguo barco antiguo intacto piramides piramides cerca greenery green timbes nave alienigena,descripcion,2,NEU,NEUTRAL,-1
medio desierto blanca blanca temperamento piramida piramida,descripcion,8,NEU,NEUTRAL,-1
woman white dress hat walking path carrying tray ethiopian sri lankan landscape 1990s photograph white shirts 1990 photograph 1987 photograph 1980s photograph cuban women havana bolivian cholitas sri lanka assamese aesthetic workers,descripcion,4,NEU,NEUTRAL,-1
police officer stands guard side road cars pass by last v interceptor triumph cars people hotrods driving street car corvette c2 1969 tomaso corvette c2 1969 andrew tate driving bugatti police tesla chase scene cobra,descripcion,4,NEU,NEUTRAL,-1
pajaro volaba sobre lleno arboles huginn muninn volando encima volando pajaros distancia aguila volando paisaje sri lanka paloma manchada volando aves vuelan distancia aves voladoras distancia aves volando aves aves pajaros aves cielo pajaros volando flujo solar luz solar,descripcion,2,NEU,NEUTRAL,-1
pasarela ladrillo letrero dice cielo parcialmente nublado planeta entorno plantas dia parcialmente nublado planeta disco planeta planeta cielo planeta parques espacio publico bangalore parques monumentos cielo soleado claro panoramica videos vibrantes afuera parque cielo despejado encima,descripcion,2,NEU,NEUTRAL,-1
grupo hongos estatuas cabeza alienigena restos coloso estatuas megalitos tres moiras megalitos distopia estatuas rotas astronautas siglo iii a,descripcion,2,NEU,NEUTRAL,-1
edificios destruidos castillo destruido pelicula primera guerra mundial camara segunda guerra mundial iglesia destruida explosion bombas atomicas mumbai edificios colapsados pintura mate segunda guerra mundial torres kremlin destruidas humanas destruidas monasteria arqueologica arqueada restaurada restaurada restaurado,descripcion,3,NEU,NEUTRAL,-1
vista desde ventana metraje vhs captura pantalla pelicula camara kodak 1960 camara kodak anos 70 pelicula mm todavia captura pantalla encontradas vhs conjunto peliculas pelicula color todavia desde interior,descripcion,1,NEU,NEUTRAL,-1
lente 360 persona patineta vista epica viejas pisoteando captura solares ruidos solares,descripcion,4,NEG,NEUTRAL,-1
recorte periodicos mujer alrededor 1982 circa circa 4 circa 1970 1978 1981 1977 circa circa 1969,descripcion,1,NEU,NEUTRAL,-1
pintura pintura simetrica iconografia arte pop intrincado obra arte simetrica intrincada diseno nazca obras arte simetricos pintura ilusion oculta imagen pintura muralismo mexicano ravi supa sindico monalero sinteco pintura unica e intrincada mural pintura intrincada simmetrica arte simmetrico arte symetrico,descripcion,2,NEU,NEUTRAL,-1
grupo personas alrededor muro brutalista arqueologicamente representa terrazas escalonadas 4 4 imagen,descripcion,9,NEU,NEUTRAL,-1
camino tierra arbustos tomado camara kodak 1960 pelicula color todavia mm pelicula captura pantalla encontradas vhs todavia captura pantalla pelicula 1983 sobre camara kodak 1970 super mm pantalla pelicula peliculas aun video musical,descripcion,1,POS,NEUTRAL,-1
large pyramid tree front it ancient megastructure pyramid ancient pyramid surrounded greenery pyramid giant tomb structures lost world pyramid giant aztec spaceship giant palace pyramid portal golden pyramids tower babel pyramid background aztec architecture ziggurat giant snake castle tower babel monumentales,descripcion,4,POS,NEUTRAL,-1
periodico medio juegos olimpicos 1960 jacqueline e miles df juegos olimpicos 1960 kodachrome 64 kodachrome 4 1961 circa circa 1969 articulo periodico papel antiguo viejo papel,descripcion,1,NEU,NEUTRAL,-1
escenario noche proyecciones coloridas instalacion diseno proyeccion pintado mapeo proyeccion coloridas proyecciones detalladas proyecciones colores oscuridad mural arte mural proyeccion mural simbolico paredes digitales obras arte pintura gigantesca arte luz etapa iluminacion epica iluminada epetica,descripcion,2,NEU,NEUTRAL,-1
casa medio campo noche poca luz catacumbas velas realista subexpuesta misterioso entorno corona noche iluminacion volumetrica es museo baja luz museo luz lumion,descripcion,2,NEU,NEUTRAL,-1
libro imagen dos hombres uniforme colonial era street luis nieves sr revolucion cubana george barret sr manuel sanjulian oswaldo guayasaman die muertos ivan bolivian ned kelly rene,descripcion,2,NEU,NEUTRAL,-1
estructura cabeza oro estatuas cabeza alienigena oraculo ancianos coloso restos enormes megaliticos mundial perdida estatuas cabeza tumbas epic oxagues cabeza oxagues,descripcion,2,POS,NEUTRAL,-1
ruins mexico giant palace temples ancient megastructure pyramid mayan ancient pyramid surrounded greenery trampling ancient city mayan style aztec architecture beautiful ancient ruins behind ruins ancient city ruins aztec mythology giant tomb structures brutalist aztec architecture grandes mitologia clasica,descripcion,4,POS,NEUTRAL,-1
agujero realista parce sepulto dia paz vale encantado yutja dia muertos religie fotomanipulacion inspirado oscar rodraguez naranjo apocalia apocalipos mundial vistentado solo traves portal,descripcion,2,NEU,NEUTRAL,-1
coosa lona mitologia clasica dios digital instagram dios lona artes culturas google epic oxagues oracle elders cineema monumentales monumentales,descripcion,2,POS,NEUTRAL,-1
building colorful light it projection mapping mayan style colored projections colorful detailed projections mexican muralism ravi supa mayan projection design installation aztec fantasy colorful projections inca style giant aztec spaceship neon aztec epic illumination art style quetzecoatl,descripcion,4,NEU,NEUTRAL,-1
grupo hombres campo pelicula aun snake rodea fotos servicio secreto tomado camara polaroid anos 70 foots polaroid photo mine dusty open pit mine hq 8k scan tabloid photo se parece audrey hepburn excavacion arqueologica martha rosler paparazzi fotographing fotograph,descripcion,1,NEU,NEUTRAL,-1
mundo perdido tomadas camara kodak anos 60 portal piramides rodeado vegetacion,descripcion,2,NEU,NEUTRAL,-1
yutja arqueologica imperial 2 1925 real 2 brutalista aztec 2,descripcion,3,NEU,NEUTRAL,-1
street stop sign car side empty road unobstructed road long road wide roads highway road tall trees long highway empty road middle advanced highway roads roadside black road highways forest environment le long open road,descripcion,4,NEG,NEUTRAL,-1
tina modotti paredes altas almenas soldados gilberto soren zaragoza sergio larraan 1973 revista life grete stern andre,descripcion,1,NEU,NEUTRAL,-1
mujer vestido sombrero frente reina vestido antiguo emperatriz ella mujer real reina inglaterra reina isabel vestido tudor diana regalia vestida como reina ropa historica real majestuoso ropa noble reina reina eliz ii reanal ii royal,descripcion,3,POS,NEUTRAL,-1
mural sobre mapeo proyeccion proyecciones color coloridas proyecciones detalladas proyecciones coloridas instalacion diseno proyeccion fantasia artistico quetzecoatl neon aztec mythology inca style muralism ravi supa quetzua quetze,descripcion,2,NEU,NEUTRAL,-1
